Time,Pressure,Temperature,Acell X,Acell Y,Acell Z,CO2 equivelent,TVOC
1785,22.53,994.55,-0.13,-1.37,0.56,400,0
2851,22.53,994.55,0.00,-1.06,-0.19,400,0
3918,22.55,994.56,0.44,-0.25,0.19,400,0
4985,22.53,994.55,0.00,-1.06,-0.25,400,0
6052,22.54,994.56,0.00,-1.06,-0.25,400,0
7119,22.54,994.56,0.00,-1.06,-0.31,400,0
8186,22.54,994.55,0.00,-1.00,-0.25,400,0
9253,22.54,994.56,0.00,-1.06,-0.25,400,0
10320,22.53,994.55,0.00,-1.06,-0.25,400,0
11387,22.54,994.55,0.00,-1.06,-0.25,400,0
12454,22.54,994.55,0.00,-1.06,-0.25,400,0
13523,22.54,994.54,0.00,-1.06,-0.25,400,0
14590,22.55,994.55,0.00,-1.06,-0.25,400,0
15657,22.55,994.55,0.00,-1.06,-0.25,400,0
16725,22.56,994.55,0.00,-1.06,-0.25,400,0
17792,22.55,994.55,0.00,-1.06,-0.25,400,0
18859,22.55,994.55,0.00,-1.06,-0.25,400,0
19926,22.55,994.55,0.00,-1.00,-0.25,400,0
20993,22.54,994.55,0.00,-1.06,-0.25,400,0
22060,22.55,994.55,0.00,-1.06,-0.25,400,0
23127,22.55,994.55,0.00,-1.00,-0.25,400,0
24194,22.56,994.55,0.00,-1.00,-0.25,400,0
25265,22.55,994.55,0.00,-1.06,-0.25,400,0
26334,22.56,994.55,0.00,-1.00,-0.25,400,0
27401,22.56,994.54,0.00,-1.06,-0.25,400,0
28468,22.57,994.55,0.00,-1.00,-0.25,400,0
29535,22.56,994.54,0.00,-1.06,-0.25,400,0
30602,22.56,994.54,0.00,-1.06,-0.25,400,0
31670,22.57,994.54,0.00,-1.06,-0.25,400,0
32737,22.57,994.55,0.00,-1.06,-0.25,400,0
33805,22.58,994.55,0.00,-1.06,-0.25,400,0
34873,22.56,994.54,0.00,-1.00,-0.25,400,0
35940,22.57,994.55,0.00,-1.06,-0.25,400,0
37007,22.57,994.54,0.00,-1.06,-0.25,400,0
38075,22.58,994.55,0.00,-1.06,-0.25,400,0
39144,22.57,994.54,0.00,-1.00,-0.25,400,0
40211,22.57,994.54,0.00,-1.06,-0.25,400,0
41279,22.58,994.54,0.00,-1.06,-0.25,400,0
42347,22.58,994.54,0.00,-1.06,-0.25,400,0
43414,22.58,994.54,0.00,-1.06,-0.25,400,0
44481,22.58,994.54,0.00,-1.00,-0.25,400,0
45549,22.58,994.54,0.00,-1.06,-0.25,400,0
46616,22.58,994.54,0.00,-1.06,-0.25,400,0
47684,22.58,994.54,0.00,-1.06,-0.25,400,0
48751,22.58,994.54,0.00,-1.06,-0.25,400,0
49819,22.57,994.54,0.00,-1.06,-0.25,400,0
50886,22.58,994.54,0.00,-1.00,-0.25,400,0
51955,22.58,994.54,0.00,-1.06,-0.25,400,4
53022,22.58,994.54,0.00,-1.06,-0.25,400,0
54094,22.59,994.54,0.00,-1.06,-0.25,400,0
55161,22.58,994.53,0.00,-1.06,-0.25,400,0
56228,22.59,994.54,0.00,-1.06,-0.25,400,6
57295,22.58,994.53,0.00,-1.06,-0.25,400,0
58363,22.59,994.54,0.00,-1.06,-0.25,400,0
59430,22.59,994.54,0.00,-1.00,-0.25,400,0
60497,22.59,994.54,0.00,-1.06,-0.25,400,0
61564,22.59,994.53,0.00,-1.00,-0.25,400,0
62632,22.59,994.53,0.00,-1.06,-0.25,400,0
63699,22.59,994.54,0.00,-1.06,-0.25,400,0
64768,22.60,994.54,0.00,-1.06,-0.25,400,0
65836,22.60,994.54,0.00,-1.06,-0.25,400,0
66903,22.60,994.54,0.00,-1.06,-0.25,400,0
67970,22.61,994.53,0.00,-1.06,-0.25,400,0
69037,22.59,994.53,0.00,-1.00,-0.25,412,4
70105,22.59,994.53,0.00,-1.06,-0.25,400,0
71172,22.60,994.54,0.00,-1.06,-0.25,400,0
72239,22.59,994.53,-0.06,-1.00,0.37,402,0
73306,22.59,994.53,0.06,0.06,1.12,400,0
74374,22.59,994.54,0.06,0.00,1.00,400,0
