TIME,BAR ALT,MBS,AIRT,DRAD,LAT,LON,GPS ALT
0.0,27077.0,340.99,-22.6,13.4,34.34.6,.104.09.6,8612.0
60.0,28139.0,325.26,-24.4,11.7,34.34.9,.104.09.3,8901.0
121.0,28967.0,313.46,-27.1,10.4,34.35.0,.104.08.9,9262.0
181.0,29775.0,302.31,-31.1,9.1,34.35.1,.104.08.6,9622.0
241.0,31138.0,284.29,-32.5,7.9,34.35.2,.104.08.4,9917.0
301.0,32367.0,268.88,-33.2,6.7,34.35.3,.104.08.3,10270.0
362.0,32936.0,262.0,-38.3,5.3,34.35.4,.104.08.2,10565.0
422.0,34612.0,242.66,-40.0,4.0,34.35.8,.104.08.1,10928.0
482.0,35207.0,236.1,-41.5,3.2,34.36.1,.104.07.9,11232.0
542.0,36381.0,223.65,-43.3,2.1,34.36.3,.104.07.7,11598.0
602.0,37154.0,215.78,-46.5,0.8,34.36.5,.104.07.6,11900.0
662.0,38536.0,202.34,-46.2,-0.4,34.36.6,.104.07.6,12247.0
722.0,40043.0,188.57,-48.7,-1.9,34.36.7,.104.07.7,12582.0
782.0,40796.0,182.02,-50.7,-3.1,34.36.8,.104.07.7,12875.0
842.0,42259.0,169.89,-53.8,-4.3,34.36.9,.104.07.7,13220.0
902.0,43175.0,162.68,-55.0,-5.3,34.37.0,.104.07.7,13505.0
962.0,44490.0,152.84,-61.0,-6.1,34.37.0,.104.07.6,13880.0
1022.0,45176.0,147.93,-59.8,-6.5,34.37.0,.104.07.7,14201.0
1082.0,47273.0,133.83,-63.3,-6.5,34.37.0,.104.07.9,14606.0
1142.0,47581.0,131.87,-63.8,-6.5,34.37.0,.104.07.9,14924.0
1202.0,49819.0,118.43,-63.7,-7.4,34.37.1,.104.08.0,15296.0
1262.0,50109.0,116.79,-67.3,-8.3,34.37.1,.104.08.0,15590.0
1322.0,51493.0,109.25,-68.2,-8.9,34.37.2,.104.07.9,15949.0
1382.0,52447.0,104.33,-64.9,-9.4,34.37.2,.104.07.8,16228.0
1442.0,53172.0,100.73,-71.8,-9.9,34.37.4,.104.07.7,16655.0
1503.0,53647.0,98.44,-68.5,-10.0,34.37.4,.104.07.7,16773.0
1563.0,54071.0,96.44,-68.8,-9.7,34.37.3,.104.07.7,16905.0
1623.0,54525.0,94.34,-61.0,-8.9,34.37.3,.104.07.7,17018.0
1683.0,55129.0,91.62,-60.4,-8.3,34.37.2,.104.07.7,17197.0
1743.0,55819.0,88.6,-65.3,-7.6,34.37.2,.104.07.8,17374.0
1803.0,56493.0,85.75,-60.6,-7.0,34.37.0,.104.08.0,17588.0
1863.0,57124.0,83.16,-59.6,-6.4,34.37.0,.104.08.3,17753.0
1923.0,57944.0,79.91,-62.0,-5.9,34.37.0,.104.08.5,17982.0
1983.0,58779.0,76.73,-63.6,-5.6,34.37.3,.104.08.7,18261.0
2043.0,59549.0,73.91,-57.9,-5.1,34.37.4,.104.08.8,18498.0
2103.0,60273.0,71.35,-63.3,-4.5,34.37.3,.104.09.0,18722.0
2163.0,61042.0,68.73,-61.9,-3.6,34.37.3,.104.09.3,18932.0
2223.0,61853.0,66.07,-59.6,-2.6,34.37.3,.104.09.7,19186.0
2283.0,62484.0,64.07,-57.5,-1.9,34.37.5,.104.10.0,19382.0
2343.0,63149.0,62.03,-60.1,-0.7,34.37.7,.104.10.3,19577.0
2403.0,63888.0,59.84,-59.7,0.3,34.37.9,.104.10.6,19780.0
2463.0,64776.0,57.31,-56.9,1.1,34.38.0,.104.10.7,20032.0
2523.0,65678.0,54.85,-55.1,1.1,34.38.0,.104.10.8,20296.0
2583.0,66531.0,52.62,-55.6,1.1,34.38.0,.104.11.2,20550.0
2644.0,67476.0,50.26,-55.0,1.1,34.38.0,.104.11.5,20824.0
2704.0,68299.0,48.29,-54.0,1.3,34.38.0,.104.11.8,21094.0
2764.0,69037.0,46.59,-58.0,2.1,34.37.9,.104.12.1,21355.0
2824.0,69868.0,44.75,-52.9,2.7,34.37.8,.104.12.5,21579.0
2884.0,70687.0,43.01,-53.4,3.1,34.37.7,.104.13.1,21858.0
2944.0,71570.0,41.21,-52.4,3.7,34.37.7,.104.13.5,22092.0
3004.0,72378.0,39.63,-49.8,3.9,34.37.6,.104.13.9,22340.0
