Time,Pressure,Temperature,Acell X,Acell Y,Acell Z,CO2 equivelent,TVOC
2010,18.07,996.78,0.06,0.00,1.00,400,0
3069,18.07,996.78,0.06,0.00,1.00,400,0
4128,18.09,996.78,0.06,0.00,1.00,400,0
5187,18.09,996.78,0.06,0.00,1.00,400,0
6246,18.09,996.77,0.06,0.00,1.00,400,0
7305,18.10,996.78,0.06,0.00,1.00,400,0
8364,18.11,996.78,0.00,0.00,1.00,400,0
9423,18.10,996.76,0.06,0.00,1.00,400,0
10482,18.12,996.77,0.06,0.00,1.00,400,0
11541,18.13,996.78,0.06,0.00,1.00,400,0
12600,18.15,996.78,0.00,0.00,1.00,400,0
13661,18.16,996.78,0.06,0.00,1.00,400,0
14720,18.17,996.78,0.06,0.00,1.00,400,0
15779,18.17,996.78,0.06,0.00,1.00,400,0
16838,18.17,996.78,0.06,0.00,1.00,400,0
17897,18.18,996.78,0.06,0.00,1.00,400,0
18956,18.18,996.78,0.06,0.00,1.00,400,0
20015,18.19,996.77,0.06,0.00,1.00,400,0
21074,18.20,996.77,0.06,0.00,1.00,400,0
22133,18.20,996.77,0.06,0.00,1.00,400,0
23195,18.21,996.78,0.00,0.00,1.00,400,0
24254,18.21,996.78,0.06,0.00,1.00,400,0
25313,18.22,996.77,0.06,0.00,1.00,400,0
26372,18.23,996.78,0.06,0.00,1.00,400,0
27433,18.23,996.77,0.06,0.00,1.00,400,0
28492,18.22,996.78,0.06,0.00,1.00,400,0
29551,18.24,996.77,0.06,0.00,1.00,400,0
30610,18.27,996.77,0.06,0.00,1.00,400,0
31669,18.28,996.77,0.06,0.00,1.00,400,0
32728,18.30,996.78,0.00,0.00,0.94,400,0
